model,run,image_id,category,n_points,CC,SIM,KL,NSS,AUC,CC_partial
gpt-5.4,5,0f8ece,web,40,0.22209119056010942,0.40281155801565227,2.564673051895104,0.4147023523494755,0.6289937849311552,0.16599406791507698
gpt-5.4,6,0f8ece,web,40,0.3695110173101317,0.4468278290423357,2.0766242732830746,0.6385481507142112,0.6806831234110026,0.3236806337981741
gpt-5.4,9,0f8ece,web,40,0.30497223915454846,0.4215008229693399,1.9937274220622563,0.47883132480479523,0.6744147893318364,0.2630779898039502
gpt-5.4,10,0f8ece,web,40,0.2851828489165795,0.4173524816313635,2.1329641400504125,0.512973569863672,0.6616852695213428,0.24844410749544854
gpt-5.4,1,1b307f,mobile,40,0.4547359731811056,0.47533033043042705,1.6079097234646917,0.9447801063648589,0.7407773656874371,0.2637980070258054
gpt-5.4,4,1b307f,mobile,40,0.507032632488902,0.535459867208874,1.474140283573907,0.9164496727033133,0.7649808179906857,0.28948875085483355
gpt-5.4,2,1b307f,mobile,40,0.3763981444719311,0.4762278980561512,1.5233314329333678,0.6952435785398339,0.7309383326108145,0.14492248016828138
gpt-5.4,6,1b307f,mobile,37,0.5366184676706237,0.5346057194631657,1.3323464742662006,1.027532662529496,0.7747893331843402,0.3687447527997669
gpt-5.4,5,1b307f,mobile,41,0.4696544839397234,0.4955719922355584,1.4254023408250776,0.8869925941301263,0.7474134581788214,0.2866823997548083
gpt-5.4,7,1b307f,mobile,48,0.3762852001877931,0.4767770004592706,1.4685886515605437,0.6979677087617787,0.7421295116274886,0.1572005892970551
gpt-5.4,3,1b307f,mobile,40,0.5556604158878471,0.5689448174903263,1.0810788076691058,1.0453495967236761,0.7924725366956293,0.38396158650060436
gpt-5.4,8,1b307f,mobile,40,0.5507864256915476,0.5479748438321189,1.205447057963327,1.0690777613884865,0.790116006064677,0.3650020871478154
gpt-5.4,9,1b307f,mobile,40,0.5808360572078092,0.5654416421924382,1.3199058823383953,1.0487486413951699,0.7833583522068261,0.4172442179888016
gpt-5.4,10,1b307f,mobile,40,0.45246015196797834,0.48480800643236993,1.6228771343988657,0.9170345069077216,0.7546412014423296,0.2525793641928369
gpt-5.4,1,1dd09f,mobile,40,0.23624528320824473,0.3640974558523281,2.6555775527662515,0.42141258443050816,0.6510710480452736,0.11009065871394723
gpt-5.4,4,1dd09f,mobile,40,0.22650398582142933,0.3609187724109074,2.7276419752197794,0.47540982284881195,0.6326240037775194,0.1340039387080862
gpt-5.4,2,1dd09f,mobile,40,0.3673529452806892,0.44094871785198453,1.6542475582323155,0.5056144320195145,0.716463299162332,0.23257008248581545
gpt-5.4,3,1dd09f,mobile,41,0.2654714742915165,0.3977923123355953,2.161574448927118,0.38290128623387804,0.6681655550039819,0.17013639790347185
gpt-5.4,5,1dd09f,mobile,40,0.202384067290454,0.34683411677972287,3.1027377046827,0.27142186837195675,0.6104539702087074,0.09494387808550526
gpt-5.4,6,1dd09f,mobile,40,0.3165538196731026,0.4069605624074476,2.863119515367458,0.5673166042422503,0.6682761546605125,0.1981350546899645
gpt-5.4,1,1fdbf2,desktop,40,0.5960539480123421,0.6169358928280835,0.5462907290062318,0.8635148749006206,0.7446006190378602,0.5879073701601991
gpt-5.4,2,1fdbf2,desktop,38,0.5292560127131217,0.5837334485515813,0.8168762418636504,0.737049192967979,0.7030196134660051,0.5251042374094214
