model,image_id,category,sigma,CC,SIM,KL
claude-opus-4.6,387531,desktop,40.0,0.19687270279510558,0.4865390860414589,1.4826610692138031
claude-opus-4.6,387531,desktop,60.0,0.2514312596725252,0.5457139055945732,0.9082806761633148
claude-opus-4.6,d60e75,desktop,20.0,0.23245820812696055,0.30369307497272335,4.483334219984668
claude-opus-4.6,d60e75,desktop,40.0,0.32359597755559266,0.43615321844432897,1.9957005360918938
claude-opus-4.6,d60e75,desktop,60.0,0.36043648228097885,0.4789135257859186,1.2268798059610948
claude-opus-4.6,290bcd,desktop,20.0,0.30664752829511044,0.37310019462720445,3.125059014421995
claude-opus-4.6,290bcd,desktop,40.0,0.3868492325177849,0.4753906472875996,1.345749111437843
claude-opus-4.6,290bcd,desktop,60.0,0.4023552339691108,0.49654751894052257,0.9546430770720565
claude-opus-4.6,037d19,desktop,20.0,0.3572765902511641,0.37221214649833684,4.364751331318897
claude-opus-4.6,037d19,desktop,40.0,0.47447666234880764,0.5005729779168693,2.6414985550018257
claude-opus-4.6,037d19,desktop,60.0,0.4727858177919453,0.5207713342802266,1.7377601806676553
claude-opus-4.6,8a1565,desktop,20.0,0.18141370031221973,0.3091187740696077,3.646455203283379
claude-opus-4.6,8a1565,desktop,40.0,0.24007460091325772,0.40721881656270265,1.460920535108683
claude-opus-4.6,8a1565,desktop,60.0,0.2464227793864798,0.42266094771392054,1.1360499611334727
claude-opus-4.6,b47f5a,desktop,20.0,0.010138243525244239,0.2685398395117089,4.711567969306202
claude-opus-4.6,b47f5a,desktop,40.0,0.05176250967169251,0.43318618804473974,1.5417300724493088
claude-opus-4.6,b47f5a,desktop,60.0,0.11425027883460359,0.4901420508883685,0.9334055479557558
claude-opus-4.6,f4d6e9,desktop,20.0,0.39085471136062055,0.43769496235063854,2.2174161447155223
claude-opus-4.6,f4d6e9,desktop,40.0,0.542814934418663,0.5483940437722632,0.769674945190816
claude-opus-4.6,f4d6e9,desktop,60.0,0.6098944689209722,0.5697002213679114,0.616295633296412
claude-opus-4.6,8c2c62,desktop,20.0,0.6041066102407567,0.5018055417636837,1.9426156091652322
claude-opus-4.6,8c2c62,desktop,40.0,0.7214472089104216,0.5984876250784343,0.8450922213420929
claude-opus-4.6,8c2c62,desktop,60.0,0.7007556907818802,0.5863908570119964,0.6814529457867211
claude-opus-4.6,c33956,desktop,20.0,0.3176528574401338,0.4222633904525065,2.454358341118003
claude-opus-4.6,c33956,desktop,40.0,0.3791992372862156,0.5246857039440244,0.9286009056518241
claude-opus-4.6,c33956,desktop,60.0,0.3837546467873678,0.5442191657356115,0.736792500033995
claude-opus-4.6,a752c9,desktop,20.0,0.30465872440048347,0.33900305560409527,3.996001279480754
claude-opus-4.6,a752c9,desktop,40.0,0.39974657154263693,0.48368584180395274,1.5554094833327545
claude-opus-4.6,a752c9,desktop,60.0,0.38364405565362686,0.5125519821162033,1.041428021631007
claude-opus-4.6,c2db26,desktop,20.0,0.1623845846216813,0.28540835288126787,5.370712921628192
claude-opus-4.6,c2db26,desktop,40.0,0.20801579941004308,0.41390470155479875,2.9422854405357293
claude-opus-4.6,c2db26,desktop,60.0,0.21878415568631696,0.4609894226172844,1.6595373543888048
claude-opus-4.6,7613f2,desktop,20.0,0.2192829842260422,0.3055794601889373,3.344578237147676
claude-opus-4.6,7613f2,desktop,40.0,0.2957096218107662,0.4024155743426506,1.7300001333771295
claude-opus-4.6,7613f2,desktop,60.0,0.3335981394670488,0.4355912302318457,1.217341249459406
claude-opus-4.6,dc6989,desktop,20.0,0.3191225215007125,0.3922133007105424,2.288724696261766
claude-opus-4.6,dc6989,desktop,40.0,0.5100732126110419,0.5206626905538708,0.8697526724499531
claude-opus-4.6,dc6989,desktop,60.0,0.5411159665228824,0.5356979045083119,0.7095821603796377
claude-opus-4.6,00b3a0,desktop,20.0,0.14060056487813655,0.2907745249801378,4.400502268557117
claude-opus-4.6,00b3a0,desktop,40.0,0.2132936681041392,0.40121768671373276,1.9903902359351244
claude-opus-4.6,00b3a0,desktop,60.0,0.2634574657155859,0.43815032308859714,1.3126500521972189
claude-opus-4.6,c0233f,desktop,20.0,0.1525752190074578,0.34298258110394486,3.214990882385746
